"2025 MONSTER ENERGY AMA SUPERCROSS"
"Detroit"
"Feb 15, 2025"
""
"250 MAIN EVENT LINEUP"
"Race Length: 15:00 Timed"
"GRID      #    RIDER                 BIKE      SEED #                RESULT             HOMETOWN"
"1        47   Levi Kitchen        Kawasaki       1                   1 (1)             Washougal, WA"
"2        41   Nate Thrasher        Yamaha        2                   1 (1)             Livingston, TN"
"3        31   Max Anstie           Yamaha        3                   2 (1)             United Kingdom"
"4        10   Chance Hymas         Honda         4                   2 (1)             Pocatello, ID"
"5        24   R.J. Hampshire      Husqvarna      5                   3 (1)             Hudson Florida"
"6        56   Seth Hammaker       Kawasaki       6                   3 (1)             Bainbridge, PA"
"7        60   Carson Mumford       Honda         7                   4 (1)             Simi Valley , CA"
"8        50   Cameron Mcadoo      Kawasaki       8                   4 (1)             Sioux City, IA"
"9        59   Cullin Park          Honda         9                   5 (1)             Clermont, FL"
"10       1    Tom Vialle            KTM         10                   5 (1)             France"
"11       55   Henry Miller         Honda        11                   6 (1)             Rochester, MN"
"12       74   Lorenzo Locurcio     GasGas       12                   6 (1)             Valencia, Venezuela"
"13       75   Gage Linville         KTM         13                   7 (1)             Lake Park, GA"
"14      192   Jack Chambers       Kawasaki      14                   7 (1)             Auburndale, FL"
"15       87   Hardy Munoz          Yamaha       15                   8 (1)             Temuco, Chile"
"16       73   Preston Boespflug   Kawasaki      16                   8 (1)             Battle Ground, WA"
"17      682   Izaih Clark          Honda        17                   9 (1)             Fort Dodge, IA"
"18      137   Ayden Shive           KTM         18                   9 (1)             Dade City, FL"
"19       83   Austin Forkner      Triumph       19         LCQ [1 7/6:28.041 (1) H1]   Richards, MO"
"20       92   Maximus Vohland      Yamaha       20         LCQ [2 7/6:28.041 (1) H1]   Temecula, CA"
"21       89   Trevor Colip         Honda        21         LCQ [3 7/6:28.041 (1) H1]   Bowling Green IN"
"22       62   Mark Fineis          Yamaha       22         LCQ [4 7/6:28.041 (1) H1]   Indianapolis, IN"
""
""
""
""
"Generated by LiveTime Scoring Engine                                                                              Page 1/1"
""
