"2025 MONSTER ENERGY AMA SUPERCROSS"
"Anaheim #1"
"Jan 11, 2025"
""
"450 MAIN EVENT LINEUP"
"Race Length: 20:00 Timed"
"GRID      #    RIDER                  BIKE      SEED #                RESULT             HOMETOWN"
"1        94   Ken Roczen            Suzuki        1                   1 (1)             Mattstedt, Germany"
"2        4    Chase Sexton           KTM          2                   1 (1)             La Moille, IL"
"3        21   Jason Anderson       Kawasaki       3                   2 (1)             Edgewood, NW"
"4        70   Jorge Prado          Kawasaki       4                   2 (1)             Spain"
"5        32   Justin Cooper         Yamaha        5                   3 (1)             Cold Spring Harbor, NY"
"6        51   Justin Barcia         GasGas        6                   3 (1)             Monroe NY"
"7        2    Cooper Webb           Yamaha        7                   4 (1)             Newport, NC"
"8        96   Hunter Lawrence       Honda         8                   4 (1)             Sunshine Coast, Australia"
"9        1    Jett Lawrence         Honda         9                   5 (1)             Landsborough, Australia"
"10       3    Eli Tomac             Yamaha       10                   5 (1)             Cortez, CO"
"11       46   Justin Hill            KTM         11                   6 (1)             Riverton"
"12       7    Aaron Plessinger       KTM         12                   6 (1)             Hamilton, OH"
"13       57   Benny Bloss            Beta        13                   7 (1)             Oak Grove, MO"
"14       17   Joey Savatgy          Honda        14                   7 (1)             Clermont, FL"
"15       12   Shane McElrath        Honda        15                   8 (1)             Oakland, FL"
"16       66   Vince Friese          Honda        16                   8 (1)             Cape Girardeau, Missouri"
"17       49   Mitchell Oldenburg     Beta        17                   9 (1)             Alvord, TX"
"18       11   Kyle Chisholm         Suzuki       18                   9 (1)             Valrico, FL"
"19       33   Freddie Noren        Kawasaki      19         LCQ [1 6/6:23.932 (1) H1]   Lidköping, Sweden"
"20       27   Malcolm Stewart      Husqvarna     20         LCQ [2 6/6:23.932 (1) H1]   Haines City, FL"
"21      200   Ryan Breece           Honda        21         LCQ [3 6/6:23.932 (1) H1]   Coeur d' Alene"
"22       86   Mitchell Harrison    Kawasaki      22         LCQ [4 6/6:23.932 (1) H1]   Brighton, MI"
""
""
""
""
"Generated by LiveTime Scoring Engine                                                                                     Page 1/1"
""
